glm 0.9.9.8-1
glslang 11.13.0-2
glu 9.0.2-3
gmime3 3.2.13-1
gmp 6.2.1-2
gnome-autoar 0.4.3-2
gnome-backgrounds 43-1
gnome-bluetooth-3.0 42.5-1
gnome-boxes 43.2-1
gnome-builder 43.4-1
gnome-calculator 43.0.1-1
gnome-calendar 43.1-1
gnome-characters 43.1-1
gnome-chess 43.1-1
gnome-clocks 43.0-1
gnome-color-manager 3.36.0+r42+g90481514-1
gnome-connections 43.0-1
gnome-console 43.0-1
gnome-contacts 43.0-1
gnome-control-center 43.2-1
gnome-desktop 1:43-1
gnome-desktop-4 1:43-1
gnome-desktop-common 1:43-1
gnome-devel-docs 40.3-1
gnome-disk-utility 43.0-1
gnome-font-viewer 43.0-1
gnome-games 40.0-3
gnome-keyring 1:42.1-2
gnome-klotski 3.38.2-1
gnome-logs 43.0-1
gnome-mahjongg 3.38.3-1
gnome-maps 43.3-1
gnome-menus 3.36.0-2
gnome-mines 40.1-1
gnome-multi-writer 3.32.1-2
gnome-music 1:42.1-1
gnome-nettool 42.0-1
gnome-nibbles 3.38.2+r53+g8de2599-1
gnome-online-accounts 3.46.0-1
gnome-photos 1:43.0-2
gnome-recipes 2.0.4-3
gnome-remote-desktop 43.3-1
gnome-robots 40.0-1
gnome-session 43.0-1
gnome-settings-daemon 43.0-2
gnome-shell 1:43.2-1
gnome-shell-extensions 43.1-1
gnome-software 43.3-1
gnome-sound-recorder 42.0-1
gnome-sudoku 43.0-1
gnome-system-monitor 42.0-1
gnome-taquin 3.38.1+r35+g35edb95-1
gnome-terminal 3.46.7-1
gnome-tetravex 3.38.2-1
gnome-text-editor 43.2-1
gnome-tweaks 42beta+r14+g2d9d76c-2
gnome-usage 3.38.1-1
gnome-user-docs 43.0-1
gnome-user-share 43.0-1
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 43.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnutls 3.7.8-4
go 2:1.19.5-1
gobject-introspection-runtime 1.74.0-1
gom 0.4-5
google-chrome 109.0.5414.74-1
gopls 0.11.0-1
gperf 3.1-4
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 7.0.6-1
grep 3.8-2
grilo 0.3.15-2
grilo-plugins 1:0.3.15-2
grim 1.4.0-2
groff 1.22.4-7
gruvbox-material-gtk-theme-git r18.f56ba878e-1
gruvbox-material-icon-theme-git r18.f56ba878e-1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gsound 1.0.3-2
gspell 1.12.0-2
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-editing-services 1.20.5-5
gst-plugin-gtk 1.20.5-5
gst-plugin-pipewire 1:0.3.64-1
gst-plugins-bad 1.20.5-5
gst-plugins-bad-libs 1.20.5-5
gst-plugins-base 1.20.5-5
gst-plugins-base-libs 1.20.5-5
gst-plugins-good 1.20.5-5
gstreamer 1.20.5-5
gtk-doc 1.33.2-1
gtk-layer-shell 0.8.0-1
gtk-update-icon-cache 1:4.8.3-3
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtk4 1:4.8.3-3
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview4 4.8.4-1
gtksourceview5 5.6.2-1
gts 0.7.6.121130-2
guile 3.0.8-3
gupnp 1:1.6.3-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.2.0-3
gvfs 1.50.3-1
gvfs-afc 1.50.3-1
gvfs-goa 1.50.3-1
gvfs-google 1.50.3-1
gvfs-gphoto2 1.50.3-1
gvfs-mtp 1.50.3-1
gvfs-nfs 1.50.3-1
gvfs-smb 1.50.3-1
gzip 1.12-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
haskell-aeson 2.1.1.0-10
haskell-aeson-pretty 0.8.9-109
haskell-ansi-terminal 0.11.4-11
haskell-ansi-wl-pprint 0.6.9-364
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-201
haskell-asn1-parse 0.9.5-201
haskell-asn1-types 0.3.4-180
haskell-assoc 1.0.2-174
haskell-async 2.2.4-141
haskell-attoparsec 0.14.4-47
haskell-attoparsec-iso8601 1.1.0.0-23
haskell-auto-update 0.1.6-290
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-32
haskell-base-orphans 0.8.7-39
haskell-base16-bytestring 1.0.2.0-53
haskell-base64 0.4.2.4-39
haskell-base64-bytestring 1.2.1.0-75
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.14-6
haskell-bitvec 1.1.3.0-28
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-197
haskell-blaze-markup 0.8.2.8-103
haskell-boring 0.2-4
haskell-bsb-http-chunked 0.0.0.4-334
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-131
haskell-case-insensitive 1.2.1.0-176
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.0.2-19
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-156
haskell-commonmark 0.2.2-30
haskell-commonmark-extensions 0.2.3.3-14
haskell-commonmark-pandoc 0.2.1.2-104
haskell-comonad 5.0.8-175
haskell-conduit 1.3.4.3-19
haskell-conduit-extra 1.3.6-51
haskell-connection 0.3.1-229
haskell-constraints 0.13.4-22
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-cryptonite 0.30-44
haskell-data-array-byte 0.1.0.1-1
haskell-data-default 0.7.1.1-266
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-279
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-75
haskell-dec 0.0.5-1
haskell-digest 0.0.1.4-1
haskell-distributive 0.6.2.1-178
haskell-dlist 1.0-201
haskell-doclayout 0.4-24
haskell-doctemplates 0.10.0.2-38
haskell-easy-file 0.2.2-19
haskell-emojis 0.1.2-47
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.1-69
haskell-file-embed 0.0.15.0-1
haskell-generically 0.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-63
haskell-gridtables 0.1.0.0-11
haskell-haddock-library 1.10.0-192
haskell-hashable 1.4.2.0-4
haskell-hourglass 0.2.12-219
haskell-hslua 2.2.1-24
haskell-hslua-aeson 2.2.1-25
haskell-hslua-classes 2.2.0-41
haskell-hslua-core 2.2.1-35
haskell-hslua-marshalling 2.2.1-29
haskell-hslua-module-doclayout 1.0.4-74
haskell-hslua-module-path 1.0.3-33
haskell-hslua-module-system 1.0.2-29
haskell-hslua-module-text 1.0.3.1-1
haskell-hslua-module-version 1.0.3-30
haskell-hslua-objectorientation 2.2.1-25
haskell-hslua-packaging 2.2.1-21
haskell-hsyaml 0.2.1.1-31
haskell-http-api-data 0.5-16
haskell-http-client 0.7.13.1-32
haskell-http-client-tls 0.3.6.1-76
haskell-http-date 0.0.11-109
haskell-http-media 0.8.0.0-178
haskell-http-types 0.12.3-283
haskell-http2 3.0.3-18
haskell-hunit 1.6.2.0-173
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-29
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-51
haskell-ipynb 0.2-71
haskell-jira-wiki-markup 1.4.0-86
haskell-juicypixels 3.3.8-4
haskell-lexer 1.1.1-1
haskell-libyaml 0.1.2-273
haskell-lpeg 1.0.3-22
haskell-lua 2.2.1-23
haskell-memory 0.17.0-40
haskell-mime-types 0.1.1.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-75
haskell-mono-traversable 1.0.15.3-104
haskell-network 3.1.2.7-51
haskell-network-byte-order 0.1.6-151
haskell-network-uri 2.6.4.2-3
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-48
haskell-optparse-applicative 0.17.0.0-30
haskell-pandoc-lua-marshal 0.1.7-31
haskell-pandoc-types 1.22.2.1-29
haskell-pem 0.2.4-257
haskell-pretty-show 1.10-14
haskell-primitive 0.7.4.0-57
haskell-psqueues 0.2.7.3-55
haskell-quickcheck 2.14.2-390
haskell-random 1.2.1.1-88
haskell-recv 0.0.0-12
haskell-resourcet 1.2.6-23
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.3-31
haskell-scientific 0.3.7.0-86
haskell-semialign 1.2.0.1-96
haskell-semigroupoids 5.3.7-80
haskell-servant 0.19.1-14
haskell-servant-server 0.19.2-16
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.30-334
haskell-singleton-bool 0.1.6-7
haskell-skylighting 0.13.2-2
haskell-skylighting-core 0.13.2-2
haskell-skylighting-format-ansi 0.1-30
haskell-skylighting-format-blaze-html 0.1.1-26
haskell-skylighting-format-context 0.1.0.1-5
haskell-skylighting-format-latex 0.1-30
haskell-socks 0.6.1-205
haskell-some 1.0.4.1-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-19
haskell-splitmix 0.1.0.4-122
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.5-9
haskell-strict 0.4.0.1-148
haskell-string-conversions 0.4.0.1-144
haskell-syb 0.7.2.2-22
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-199
haskell-temporary 1.3-500
haskell-texmath 0.12.5.4-17
haskell-text-conversions 0.3.1.1-34
haskell-text-icu 0.8.0.2-22
haskell-text-short 0.1.5-52
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-16
haskell-th-lift 0.8.2-13
haskell-th-lift-instances 0.1.20-18
haskell-these 1.1.1.1-175
haskell-time-compat 1.9.6.1-70
haskell-time-manager 0.0.0-287
haskell-tls 1.6.0-27
haskell-transformers-base 0.4.6-75
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.10.1-27
haskell-unicode-collation 0.1.3.3-13
haskell-unicode-data 0.4.0.1-6
haskell-unicode-transforms 0.4.0.1-43
haskell-uniplate 1.6.13-168
haskell-unix-compat 0.6-46
haskell-unix-time 0.4.8-15
haskell-unliftio 0.2.23.0-8
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-52
haskell-utf8-string 1.0.2-123
haskell-uuid-types 1.0.5-90
haskell-vault 0.3.1.5-131
haskell-vector 0.13.0.0-27
haskell-vector-algorithms 0.9.0.1-28
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-169
haskell-wai-app-static 3.1.7.4-106
haskell-wai-extra 3.1.13.0-30
haskell-wai-logger 2.4.0-181
haskell-warp 3.3.23-25
haskell-witherable 0.4.2-37
haskell-word8 0.1.3-22
haskell-x509 1.7.7-30
haskell-x509-store 1.6.9-55
haskell-x509-system 1.6.7-58
haskell-x509-validation 1.6.12-60
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-165
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-81
haskell-zip-archive 0.4.2.2-14
haskell-zlib 0.6.3.0-33
hdf5-openmpi 1.12.2-3
hexchat 2.16.1-3
hicolor-icon-theme 0.17-2
hidapi 0.13.1-1
highway 1.0.2-1
hipcub 5.4.1-2
hipfft 5.4.1-2
hipsparse 5.4.1-2
hitori 3.38.4-1
hsa-rocr 5.4.2-1
hsakmt-roct 5.4.2-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.366-1
hwloc 2.8.0-1
hyphen 2.8.8-5
i3-wm 4.22-3
i3blocks 1.5-3
i3lock 2.14.1-1
i3status 2.14-1
iagno 3.38.1+r57+gd147e1a-1
iana-etc 20221215-1
icu 72.1-2
icu71 71.1-1
ijs 0.35-5
imagemagick 7.1.0.57-2
imath 3.1.6-1
img2pdf 0.4.4-2
imlib2 1.10.0-2
iniparser 4.1-4
iproute2 6.1.0-3
iptables 1:1.8.8-2
iputils 20221126-1
ipython 8.8.0-1
iso-codes 4.12.0-1
itstool 1:2.0.7-1
iwd 2.1-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.17.u1-1
jedi-language-server 0.40.0-1
jemalloc 1:5.3.0-1
jre11-openjdk 11.0.17.u1-1
jre11-openjdk-headless 11.0.17.u1-1
js102 102.4.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jsonrpc-glib 3.42.0-1
jxrlib 0.2.4-1
kaccounts-integration 22.12.1-1
kactivities 5.101.0-1
karchive 5.101.0-1
kauth 5.101.0-1
kbd 2.5.1-1
kbookmarks 5.101.0-1
kcmutils 5.101.0-1
kcodecs 5.101.0-1
kcompletion 5.101.0-1
kconfig 5.101.0-1
kconfigwidgets 5.101.0-1
kcoreaddons 5.101.0-1
kcrash 5.101.0-1
kdbusaddons 5.101.0-1
kdeclarative 5.101.0-1
kdecoration 5.26.5-1
kded 5.101.0-1
kdenlive 22.12.1-2
kdiff3 1.10.0-2
keyutils 1.6.3-1
kfilemetadata 5.101.0-1
kglobalaccel 5.101.0-1
kguiaddons 5.101.0-1
ki18n 5.101.0-1
kicad 6.0.10-1
kicad-library 6.0.10-1
kiconthemes 5.101.0-1
kio 5.101.0-2
kio-fuse 5.0.1-1
kirigami2 5.101.0-1
kitemviews 5.101.0-1
kjobwidgets 5.101.0-1
kjs 5.101.0-1
kmod 30-3
knewstuff 5.101.0-1
knotifications 5.101.0-1
knotifyconfig 5.101.0-1
kpackage 5.101.0-1
kparts 5.101.0-1
krb5 1.20.1-1
krename 5.0.2-1
kservice 5.101.0-1
ktextwidgets 5.101.0-1
kwallet 5.101.0-1
kwayland 5.101.0-1
kwidgetsaddons 5.101.0-1
kwindowsystem 5.101.0-1
kxmlgui 5.101.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.11.0-1
lcms2 2.14-2
ldb 2:2.6.1-1
ldns 1.8.3-2
lensfun 1:0.3.3-1
leptonica 1.82.0-3
less 1:608-1
lib32-alsa-lib 1.2.8-1
lib32-alsa-plugins 1.2.7.1-1
lib32-amdgpu-pro-oglp 22.40_1518373-1
lib32-amdvlk 2022.Q4.4-3
lib32-brotli 1.0.9-5
lib32-bzip2 1.0.8-3
lib32-clang 14.0.6-2
lib32-curl 7.87.0-1
lib32-dbus 1.14.4-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.5.0-2
lib32-gcc-libs 12.2.0-1
lib32-glib2 2.74.4-1
lib32-glibc 2.36-6
lib32-icu 72.1-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libcap 2.66-1
lib32-libdrm 2.4.114-1
lib32-libelf 0.188-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.1-2
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.46-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.3-3
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.1-3
lib32-libssh2 1.10.0-2
lib32-libtasn1 4.19.0-1
lib32-libtirpc 1.3.3-2
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libva-mesa-driver 22.3.3-1
lib32-libx11 1.8.3-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.15-2
lib32-libxcrypt 4.4.33-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.0-2
lib32-libxml2 2.10.3-2
lib32-libxshmfence 1.3.2-1
lib32-libxss 1.2.3-2
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 14.0.6-3
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 22.3.3-1
lib32-mesa-vdpau 22.3.3-1
lib32-ncurses 6.4-1
lib32-nspr 4.35-1
lib32-nss 3.87-1
lib32-nvidia-utils 525.78.01-1
lib32-openssl 1:3.0.7-1
lib32-p11-kit 0.24.1-1
lib32-pam 1.5.2-1
lib32-pcre2 10.40-3
lib32-pipewire 1:0.3.64-1
lib32-sqlite 3.40.1-1
lib32-systemd 252.4-1
lib32-util-linux 2.38.1-1
lib32-vulkan-amdgpu-pro 22.40_1518373-1
lib32-vulkan-icd-loader 1.3.235-1
lib32-vulkan-radeon 22.3.3-1
lib32-wayland 1.21.0-1
lib32-xz 5.4.1-1
lib32-zlib 1.2.13-2
lib32-zstd 1.5.2-1
libabw 0.1.3-3
libaccounts-glib 1.26-1
libaccounts-qt 1.16-3
